# SN, Summary numbers:
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	248
SN	0	number of records:	167
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	167
SN	0	number of MNPs:	0
SN	0	number of indels:	0
SN	0	number of others:	0
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# PSC	[2]id	[3]sample	[4]nRefHom	[5]nNonRefHom	[6]nHets	[7]nTransitions	[8]nTransversions	[9]nIndels	[10]average depth	[11]nSingletons	[12]nHapRef	[13]nHapAlt	[14]nMissing	[15] rHetHom	[16] CallRate
PSC	0	gonl-194b	103	4	23	16	11	0	14.9	0	0	0	37	5.750000	0.999107
PSC	0	gonl-195b	104	4	17	14	7	0	13.1	1	0	0	42	4.250000	0.998986
PSC	0	gonl-196b	99	2	23	16	9	0	14.0	0	0	0	43	11.500000	0.998962
PSC	0	gonl-197b	88	4	23	18	9	0	13.6	0	0	0	52	5.750000	0.998744
PSC	0	gonl-198b	126	8	2	7	3	0	16.1	0	0	0	31	0.250000	0.999251
PSC	0	gonl-199b	119	2	26	19	9	0	19.0	0	0	0	20	13.000000	0.999517
PSC	0	gonl-200b	108	8	27	24	11	0	16.7	0	0	0	24	3.375000	0.999421
PSC	0	gonl-201b	83	9	1	9	1	0	10.6	0	0	0	74	0.111111	0.998213
PSC	0	gonl-202b	92	6	28	23	11	0	15.6	1	0	0	41	4.666667	0.999010
PSC	0	gonl-203b	84	3	10	8	5	0	10.8	0	0	0	70	3.333333	0.998310
PSC	0	gonl-204b	122	11	1	10	2	0	14.0	0	0	0	33	0.090909	0.999203
PSC	0	gonl-205b	105	2	21	15	8	0	16.8	0	0	0	39	10.500000	0.999058
PSC	0	gonl-206b	82	6	2	5	3	0	10.4	0	0	0	77	0.333333	0.998141
PSC	0	gonl-207b	99	3	10	10	3	0	12.3	0	0	0	55	3.333333	0.998672
PSC	0	gonl-208b	109	0	12	9	3	0	13.1	0	0	0	46	NA	0.998889
PSC	0	gonl-209b	76	0	9	7	2	0	10.1	0	0	0	82	NA	0.998020
PSC	0	gonl-210b	87	7	0	7	0	0	10.4	0	0	0	73	0.000000	0.998237
PSC	0	gonl-211b	87	8	14	13	9	0	12.4	0	0	0	58	1.750000	0.998600
PSC	0	gonl-212b	109	4	13	13	4	0	13.5	0	0	0	41	3.250000	0.999010
PSC	0	gonl-213b	111	4	13	13	4	0	13.5	0	0	0	39	3.250000	0.999058
PSC	0	gonl-214b	122	1	9	8	2	0	13.9	0	0	0	35	9.000000	0.999155
PSC	0	gonl-215b	105	0	24	18	6	0	15.9	0	0	0	38	NA	0.999082
PSC	0	gonl-216b	97	5	0	4	1	0	11.0	0	0	0	65	0.000000	0.998431
PSC	0	gonl-217b	108	5	8	8	5	0	13.5	0	0	0	46	1.600000	0.998889
PSC	0	gonl-218b	78	3	9	7	5	0	10.4	0	0	0	77	3.000000	0.998141
PSC	0	gonl-219b	79	4	7	8	3	0	10.5	0	0	0	77	1.750000	0.998141
PSC	0	gonl-221b	103	6	2	6	2	0	11.4	0	0	0	56	0.333333	0.998648
PSC	0	gonl-222b	87	0	19	15	4	0	12.4	0	0	0	61	NA	0.998527
PSC	0	gonl-224b	103	2	17	11	8	0	12.9	0	0	0	45	8.500000	0.998913
PSC	0	gonl-225b	99	0	21	15	6	0	13.5	0	0	0	47	NA	0.998865
PSC	0	gonl-226b	96	3	10	10	3	0	12.1	0	0	0	58	3.333333	0.998600
PSC	0	gonl-227b	77	0	7	6	1	0	9.6	0	0	0	83	NA	0.997996
PSC	0	gonl-228b	102	5	12	12	5	0	13.6	0	0	0	48	2.400000	0.998841
PSC	0	gonl-229b	93	4	35	28	11	0	16.5	1	0	0	35	8.750000	0.999155
PSC	0	gonl-230b	81	3	11	8	6	0	11.4	0	0	0	72	3.666667	0.998262
PSC	0	gonl-231b	110	0	18	11	7	0	14.4	0	0	0	39	NA	0.999058
PSC	0	gonl-232b	85	2	15	11	6	0	12.4	0	0	0	65	7.500000	0.998431
PSC	0	gonl-233b	114	5	16	14	7	0	15.1	0	0	0	32	3.200000	0.999227
PSC	0	gonl-234b	115	9	1	8	2	0	13.6	0	0	0	42	0.111111	0.998986
PSC	0	gonl-235b	113	6	14	13	7	0	14.3	0	0	0	34	2.333333	0.999179
PSC	0	gonl-236b	102	5	10	9	6	0	12.0	0	0	0	50	2.000000	0.998793
PSC	0	gonl-237b	90	9	0	7	2	0	12.0	0	0	0	68	0.000000	0.998358
PSC	0	gonl-238b	128	0	11	10	1	0	16.6	1	0	0	28	NA	0.999324
PSC	0	gonl-239b	111	0	9	8	1	0	13.3	0	0	0	47	NA	0.998865
PSC	0	gonl-240b	106	3	19	14	8	0	13.6	0	0	0	39	6.333333	0.999058
PSC	0	gonl-241b	97	2	11	10	3	0	12.0	0	0	0	57	5.500000	0.998624
PSC	0	gonl-242b	123	12	1	10	3	0	15.6	0	0	0	31	0.083333	0.999251
PSC	0	gonl-243b	85	4	14	13	5	0	11.9	0	0	0	64	3.500000	0.998455
PSC	0	gonl-244b	100	2	11	9	4	0	11.8	0	0	0	54	5.500000	0.998696
PSC	0	gonl-245b	89	0	5	4	1	0	10.8	0	0	0	73	NA	0.998237
PSC	0	gonl-246b	117	6	14	15	5	0	16.3	0	0	0	30	2.333333	0.999276
PSC	0	gonl-247b	118	9	1	7	3	0	13.9	0	0	0	39	0.111111	0.999058
PSC	0	gonl-248b	102	10	18	18	10	0	16.5	0	0	0	37	1.800000	0.999107
PSC	0	gonl-249b	93	5	27	22	10	0	13.0	0	0	0	42	5.400000	0.998986
PSC	0	gonl-250b	103	5	0	4	1	0	10.7	0	0	0	59	0.000000	0.998575
